university,year,score_line,avg_score_x,score_diff,is_985,is_211,admission_count
湖南大学,2014,506,617,111,1,1,0.0
湖南农业大学,2012,546,550,4,0,0,22.0
湖南农业大学,2013,501,513,12,0,0,0.0
湖南农业大学,2014,506,527,21,0,0,0.0
湖南中医药大学,2012,546,553,7,0,0,26.0
湖南中医药大学,2014,506,548,42,0,0,0.0
湖南中医药大学,2015,525,563,38,0,0,0.0
湖北大学,2011,573,593,20,0,0,0.0
湖北大学,2013,501,540,39,0,0,21.0
湖北大学,2014,506,562,56,0,0,0.0
温州医科大学,2011,573,623,50,0,0,0.0
温州医科大学,2013,501,576,75,0,0,5.0
温州医科大学,2014,506,593,87,0,0,0.0
温州医科大学,2015,525,621,96,0,0,0.0
清华大学,2011,573,688,115,1,1,0.0
清华大学,2012,546,676,130,1,1,60.0
清华大学,2013,501,664,163,1,1,63.0
清华大学,2014,506,677,171,1,1,0.0
深圳大学,2011,573,624,51,0,0,0.0
深圳大学,2012,546,600,54,0,0,19.0
深圳大学,2013,501,572,71,0,0,20.0
深圳大学,2014,506,590,84,0,0,0.0
深圳大学,2015,525,609,84,0,0,0.0
海南大学,2011,573,601,28,0,1,0.0
海南大学,2013,501,552,51,0,1,143.0
海南大学,2014,506,569,63,0,1,0.0
海南大学,2015,525,581,56,0,1,0.0
浙江财经大学,2013,501,541,40,0,0,30.0
浙江财经大学,2014,506,552,46,0,0,0.0
浙江财经大学,2015,525,581,56,0,0,0.0
浙江理工大学,2012,546,578,32,0,0,81.0
浙江理工大学,2013,501,552,51,0,0,98.0
浙江理工大学,2014,506,564,58,0,0,0.0
浙江理工大学,2015,525,578,53,0,0,0.0
浙江海洋大学,2011,573,579,6,0,0,0.0
浙江海洋大学,2012,546,559,13,0,0,0.0
浙江海洋大学,2014,506,526,20,0,0,0.0
浙江师范大学,2011,573,596,23,0,0,0.0
浙江师范大学,2013,501,535,34,0,0,23.0
浙江师范大学,2014,506,553,47,0,0,0.0
浙江师范大学,2015,525,570,45,0,0,0.0
浙江工商大学,2011,573,622,49,0,0,0.0
浙江工商大学,2013,501,561,60,0,0,56.0
浙江工商大学,2014,506,578,72,0,0,0.0
浙江工商大学,2015,525,594,69,0,0,0.0
浙江工业大学,2013,501,557,56,0,0,50.0
浙江工业大学,2014,506,572,66,0,0,0.0
浙江工业大学,2015,525,587,62,0,0,0.0
浙江大学,2011,573,673,100,1,1,0.0
浙江大学,2012,546,655,109,1,1,72.0
浙江大学,2013,501,645,144,1,1,0.0
浙江大学,2014,506,657,151,1,1,0.0
河海大学,2011,573,627,54,0,1,0.0
