university,year,score_line,avg_score,score_diff,stu_count,stu_ranking
西安科技大学,2013,501,514,13,461.0,29832.0
西安科技大学,2015,525,558,33,398.0,23265.0
西安电子科技大学,2011,573,629,56,0.0,0.0
西安电子科技大学,2013,501,579,78,221.0,7680.0
西安电子科技大学,2014,506,601,95,226.0,6093.0
西安电子科技大学,2015,525,617,92,182.0,5509.0
西南大学,2013,501,555,54,316.0,14322.0
西南大学,2014,506,574,68,297.0,12649.0
西南大学,2015,525,556,31,351.0,24003.0
西南交通大学,2011,573,630,57,0.0,0.0
西南交通大学,2013,501,578,77,252.0,7932.0
西南交通大学,2014,506,602,96,178.0,5867.0
西南交通大学,2015,525,617,92,182.0,5509.0
西北政法大学,2013,501,551,50,321.0,15596.0
西北政法大学,2015,525,593,68,295.0,11477.0
西北大学,2013,501,554,53,298.0,14620.0
西北大学,2014,506,571,65,304.0,13565.0
西北大学,2015,525,589,64,293.0,12639.0
苏州大学,2012,546,603,57,0.0,0.0
苏州大学,2013,501,585,84,195.0,6402.0
苏州大学,2014,506,598,92,201.0,6697.0
苏州大学,2015,525,612,87,208.0,6570.0
福建医科大学,2013,501,558,57,329.0,13362.0
福建医科大学,2014,506,574,68,297.0,12649.0
福建医科大学,2015,525,588,63,303.0,12942.0
福州大学,2011,573,615,42,0.0,0.0
福州大学,2012,546,595,49,0.0,0.0
福州大学,2013,501,567,66,254.0,10696.0
福州大学,2014,506,582,76,247.0,10401.0
福州大学,2015,525,597,72,296.0,10364.0
石家庄铁道大学,2011,573,594,21,0.0,0.0
石家庄铁道大学,2015,525,558,33,398.0,23265.0
燕山大学,2012,546,576,30,0.0,0.0
燕山大学,2013,501,549,48,342.0,16250.0
燕山大学,2015,525,580,55,311.0,15437.0
湖南科技大学,2011,573,594,21,0.0,0.0
湖南科技大学,2015,525,558,33,398.0,23265.0
湖南师范大学,2013,501,553,52,320.0,14940.0
湖南师范大学,2014,506,576,70,301.0,12074.0
湖南师范大学,2015,525,590,65,281.0,12346.0
湖南中医药大学,2014,506,548,42,363.0,21086.0
湖南中医药大学,2015,525,563,38,348.0,21383.0
温州医科大学,2014,506,593,87,230.0,7811.0
温州医科大学,2015,525,621,96,170.0,4755.0
深圳大学,2012,546,600,54,0.0,0.0
深圳大学,2015,525,609,84,226.0,7236.0
浙江财经大学,2015,525,581,56,328.0,15126.0
浙江理工大学,2013,501,552,51,335.0,15275.0
浙江理工大学,2015,525,578,53,337.0,16100.0
浙江师范大学,2013,501,535,34,387.0,21291.0
浙江师范大学,2015,525,570,45,362.0,18860.0
浙江工商大学,2013,501,561,60,320.0,12432.0
浙江工商大学,2014,506,578,72,296.0,11502.0
浙江工商大学,2015,525,594,69,238.0,11182.0
浙江工业大学,2013,501,557,56,305.0,13667.0
浙江工业大学,2014,506,572,66,319.0,13261.0
浙江工业大学,2015,525,587,62,342.0,13284.0
河海大学,2013,501,583,82,203.0,6809.0
河海大学,2014,506,597,91,234.0,6931.0
河海大学,2015,525,608,83,226.0,7462.0
河南大学,2013,501,535,34,387.0,21291.0
河南大学,2015,525,567,42,377.0,19978.0
河北工业大学,2013,501,551,50,321.0,15596.0
河北工业大学,2015,525,588,63,303.0,12942.0
河北大学,2015,525,560,35,382.0,22483.0
沈阳药科大学,2011,573,592,19,0.0,0.0
沈阳药科大学,2015,525,567,42,377.0,19978.0
沈阳建筑大学,2012,546,575,29,0.0,0.0
沈阳建筑大学,2015,525,562,37,330.0,21713.0
沈阳工业大学,2015,525,558,33,398.0,23265.0
江苏科技大学,2015,525,566,41,369.0,20347.0
江苏大学,2013,501,552,51,335.0,15275.0
江苏大学,2015,525,584,59,300.0,14202.0
江南大学,2012,546,595,49,0.0,0.0
江南大学,2015,525,603,78,271.0,8709.0
汕头大学,2013,501,557,56,305.0,13667.0
汕头大学,2014,506,572,66,319.0,13261.0
汕头大学,2015,525,591,66,289.0,12065.0
武汉理工大学,2015,525,611,86,222.0,6792.0
武汉工程大学,2015,525,553,28,398.0,25215.0
暨南大学,2012,546,612,66,0.0,0.0
暨南大学,2014,506,612,106,144.0,4147.0
暨南大学,2015,525,623,98,146.0,4427.0
新疆大学,2012,546,555,9,0.0,0.0
新疆大学,2013,501,513,12,427.0,30259.0
新疆大学,2014,506,523,17,398.0,30751.0
新疆大学,2015,525,531,6,396.0,33781.0
新疆医科大学,2014,506,551,45,366.0,20005.0
新疆医科大学,2015,525,596,71,283.0,10647.0
扬州大学,2012,546,576,30,0.0,0.0
扬州大学,2013,501,549,48,342.0,16250.0
扬州大学,2015,525,579,54,326.0,15763.0
广西大学,2013,501,550,49,312.0,15908.0
广西大学,2015,525,580,55,311.0,15437.0
广州大学,2013,501,564,63,267.0,11529.0
广州大学,2015,525,585,60,297.0,13902.0
广东工业大学,2015,525,578,53,337.0,16100.0
广东外语外贸大学,2012,546,608,62,0.0,0.0
广东外语外贸大学,2013,501,589,88,183.0,5663.0
广东外语外贸大学,2014,506,602,96,178.0,5867.0
广东外语外贸大学,2015,525,610,85,218.0,7010.0
常州大学,2015,525,555,30,413.0,24416.0
山东科技大学,2011,573,591,18,0.0,0.0
山东科技大学,2015,525,567,42,377.0,19978.0
安徽财经大学,2013,501,563,62,268.0,11797.0
安徽财经大学,2015,525,585,60,297.0,13902.0
安徽大学,2013,501,556,55,339.0,14006.0
安徽大学,2014,506,572,66,319.0,13261.0
安徽大学,2015,525,592,67,299.0,11776.0
安徽医科大学,2011,573,613,40,0.0,0.0
安徽医科大学,2012,546,599,53,0.0,0.0
安徽医科大学,2013,501,555,54,316.0,14322.0
安徽医科大学,2014,506,573,67,293.0,12942.0
安徽医科大学,2015,525,578,53,337.0,16100.0
宁夏大学,2011,573,584,11,0.0,0.0
宁夏大学,2012,546,560,14,0.0,0.0
宁夏大学,2013,501,538,37,371.0,20189.0
宁夏大学,2015,525,559,34,384.0,22867.0
天津财经大学,2011,573,632,59,0.0,0.0
天津财经大学,2012,546,601,55,0.0,0.0
天津财经大学,2013,501,581,80,224.0,7248.0
天津财经大学,2015,525,600,75,288.0,9518.0
天津医科大学,2012,546,600,54,0.0,0.0
天津医科大学,2013,501,577,76,217.0,8149.0
天津医科大学,2014,506,603,97,185.0,5689.0
天津医科大学,2015,525,619,94,172.0,5116.0
大连理工大学,2011,573,640,67,0.0,0.0
大连理工大学,2012,546,620,74,0.0,0.0
大连理工大学,2014,506,602,96,178.0,5867.0
大连理工大学,2015,525,614,89,213.0,6137.0
大连海事大学,2014,506,578,72,296.0,11502.0
大连海事大学,2015,525,596,71,283.0,10647.0
大连医科大学,2012,546,576,30,0.0,0.0
大连医科大学,2013,501,557,56,305.0,13667.0
大连医科大学,2015,525,591,66,289.0,12065.0
四川农业大学,2015,525,569,44,361.0,19221.0
合肥工业大学,2011,573,614,41,0.0,0.0
合肥工业大学,2014,506,577,71,271.0,11773.0
合肥工业大学,2015,525,594,69,238.0,11182.0
南昌航空大学,2011,573,593,20,0.0,0.0
南昌航空大学,2015,525,568,43,380.0,19601.0
南昌大学,2013,501,563,62,268.0,11797.0
南昌大学,2014,506,577,71,271.0,11773.0
南昌大学,2015,525,593,68,295.0,11477.0
南方医科大学,2011,573,638,65,0.0,0.0
南方医科大学,2013,501,586,85,186.0,6207.0
南方医科大学,2014,506,620,114,120.0,3034.0
南方医科大学,2015,525,601,76,256.0,9230.0
南华大学,2012,546,557,11,0.0,0.0
南华大学,2013,501,537,36,359.0,20548.0
南华大学,2015,525,569,44,361.0,19221.0
南京邮电大学,2012,546,601,55,0.0,0.0
南京邮电大学,2013,501,567,66,254.0,10696.0
南京邮电大学,2014,506,581,75,271.0,10672.0
南京邮电大学,2015,525,596,71,283.0,10647.0
南京财经大学,2012,546,599,53,0.0,0.0
南京财经大学,2014,506,583,77,241.0,10154.0
南京财经大学,2015,525,598,73,271.0,10068.0
南京理工大学,2013,501,587,86,168.0,6021.0
南京理工大学,2014,506,603,97,185.0,5689.0
南京理工大学,2015,525,618,93,211.0,5327.0
南京工业大学,2013,501,550,49,312.0,15908.0
南京工业大学,2015,525,583,58,302.0,14504.0
南京医科大学,2012,546,609,63,0.0,0.0
南京医科大学,2014,506,602,96,178.0,5867.0
南京医科大学,2015,525,603,78,271.0,8709.0
南京农业大学,2013,501,560,59,293.0,12725.0
南京农业大学,2014,506,576,70,301.0,12074.0
南京农业大学,2015,525,591,66,289.0,12065.0
华南农业大学,2014,506,551,45,366.0,20005.0
华南农业大学,2015,525,567,42,377.0,19978.0
华北电力大学,2012,546,608,62,0.0,0.0
华北电力大学,2015,525,630,105,147.0,3341.0
华侨大学,2013,501,538,37,371.0,20189.0
华侨大学,2014,506,550,44,349.0,20354.0
华侨大学,2015,525,580,55,311.0,15437.0
华中师范大学,2011,573,616,43,0.0,0.0
华中师范大学,2014,506,599,93,191.0,6496.0
华中师范大学,2015,525,611,86,222.0,6792.0
华东理工大学,2012,546,614,68,0.0,0.0
华东理工大学,2014,506,609,103,162.0,4601.0
华东理工大学,2015,525,622,97,158.0,4585.0
华东交通大学,2015,525,577,52,314.0,16414.0
北京科技大学,2012,546,613,67,0.0,0.0
北京科技大学,2013,501,590,89,162.0,5480.0
北京科技大学,2014,506,605,99,199.0,5323.0
北京科技大学,2015,525,619,94,172.0,5116.0
北京林业大学,2011,573,620,47,0.0,0.0
北京林业大学,2012,546,595,49,0.0,0.0
北京林业大学,2015,525,593,68,295.0,11477.0
北京建筑大学,2013,501,557,56,305.0,13667.0
北京建筑大学,2014,506,583,77,241.0,10154.0
北京建筑大学,2015,525,592,67,299.0,11776.0
北京工商大学,2013,501,546,45,357.0,17341.0
北京工商大学,2015,525,584,59,300.0,14202.0
北京工业大学,2012,546,595,49,0.0,0.0
北京工业大学,2013,501,561,60,320.0,12432.0
北京工业大学,2014,506,584,78,252.0,9913.0
北京工业大学,2015,525,600,75,288.0,9518.0
北京化工大学,2011,573,615,42,0.0,0.0
北京化工大学,2013,501,564,63,267.0,11529.0
北京化工大学,2014,506,579,73,262.0,11206.0
北京化工大学,2015,525,598,73,271.0,10068.0
北京交通大学,2011,573,640,67,0.0,0.0
北京交通大学,2012,546,618,72,0.0,0.0
北京交通大学,2013,501,591,90,183.0,5318.0
北京交通大学,2014,506,604,98,181.0,5504.0
北京交通大学,2015,525,624,99,180.0,4281.0
兰州大学,2011,573,620,47,0.0,0.0
兰州大学,2012,546,598,52,0.0,0.0
兰州大学,2014,506,592,86,231.0,8042.0
兰州大学,2015,525,608,83,226.0,7462.0
云南大学,2012,546,575,29,0.0,0.0
云南大学,2015,525,585,60,297.0,13902.0
中央民族大学,2012,546,603,57,0.0,0.0
中央民族大学,2013,501,581,80,224.0,7248.0
中央民族大学,2014,506,603,97,185.0,5689.0
中央民族大学,2015,525,614,89,213.0,6137.0
中国药科大学,2011,573,616,43,0.0,0.0
中国药科大学,2013,501,565,64,293.0,11262.0
中国药科大学,2015,525,608,83,226.0,7462.0
中国矿业大学,2015,525,598,73,271.0,10068.0
中国海洋大学,2012,546,609,63,0.0,0.0
中国海洋大学,2013,501,591,90,183.0,5318.0
中国海洋大学,2014,506,605,99,199.0,5323.0
中国海洋大学,2015,525,617,92,182.0,5509.0
中国民航大学,2013,501,553,52,320.0,14940.0
中国民航大学,2015,525,584,59,300.0,14202.0
中国农业大学,2011,573,632,59,0.0,0.0
中国农业大学,2012,546,612,66,0.0,0.0
中国农业大学,2014,506,611,105,140.0,4287.0
中国农业大学,2015,525,624,99,180.0,4281.0
中南财经政法大学,2011,573,643,70,0.0,0.0
中南财经政法大学,2012,546,620,74,0.0,0.0
中南财经政法大学,2014,506,619,113,129.0,3163.0
中南财经政法大学,2015,525,627,102,153.0,3790.0
东华大学,2011,573,621,48,0.0,0.0
东华大学,2012,546,602,56,0.0,0.0
东华大学,2013,501,580,79,211.0,7459.0
东华大学,2014,506,595,89,224.0,7369.0
东华大学,2015,525,611,86,222.0,6792.0
东北财经大学,2011,573,638,65,0.0,0.0
东北财经大学,2012,546,610,64,0.0,0.0
东北财经大学,2013,501,590,89,162.0,5480.0
东北财经大学,2014,506,591,85,213.0,8255.0
东北财经大学,2015,525,611,86,222.0,6792.0
东北石油大学,2011,573,592,19,0.0,0.0
东北石油大学,2015,525,554,29,401.0,24817.0
东北林业大学,2011,573,585,12,0.0,0.0
东北林业大学,2014,506,551,45,366.0,20005.0
东北林业大学,2015,525,571,46,358.0,18498.0
东北师范大学,2013,501,547,46,373.0,16984.0
东北师范大学,2015,525,591,66,289.0,12065.0
东北大学,2013,501,582,81,215.0,7024.0
东北大学,2014,506,591,85,213.0,8255.0
东北大学,2015,525,605,80,233.0,8191.0
东北农业大学,2011,573,582,9,0.0,0.0
东北农业大学,2015,525,568,43,380.0,19601.0
上海海洋大学,2015,525,562,37,330.0,21713.0
上海海事大学,2012,546,577,31,0.0,0.0
上海海事大学,2013,501,547,46,373.0,16984.0
上海海事大学,2015,525,586,61,321.0,13605.0
上海师范大学,2013,501,517,16,406.0,28516.0
上海师范大学,2014,506,551,45,366.0,20005.0
上海师范大学,2015,525,570,45,362.0,18860.0
上海大学,2011,573,631,58,0.0,0.0
上海大学,2012,546,609,63,0.0,0.0
上海大学,2013,501,588,87,190.0,5853.0
上海大学,2014,506,602,96,178.0,5867.0
上海大学,2015,525,617,92,182.0,5509.0
三峡大学,2015,525,560,35,382.0,22483.0
