,university,year,major,avg_major_score,stu_count,stu_ranking,score_line,avg_score,score_diff
1217,广东工业大学,2014,机械设计制造及其自动化...,572,319.0,13261.0,,,
1260,山东大学（威海）,2013,通信工程,573,225.0,9082.0,,,
1261,山东大学（威海）,2013,软件工程,575,249.0,8631.0,,,
1299,安徽财经大学,2015,计算机类,583,302.0,14504.0,525.0,585.0,60.0
1321,安徽大学,2015,通信工程,593,295.0,11477.0,525.0,592.0,67.0
1322,安徽大学,2015,软件工程,593,295.0,11477.0,525.0,592.0,67.0
1325,安徽大学,2013,机械设计制造及其自动化,557,305.0,13667.0,501.0,556.0,55.0
1326,安徽大学,2015,微电子科学与工程,593,295.0,11477.0,525.0,592.0,67.0
1327,安徽大学,2015,地理信息科学,590,281.0,12346.0,525.0,592.0,67.0
1329,安徽大学,2013,信息安全,559,308.0,13033.0,501.0,556.0,55.0
1345,太原理工大学,2013,计算机科学与技术,557,305.0,13667.0,,,
1347,太原理工大学,2013,电气工程及其自动化,564,267.0,11529.0,,,
1350,太原理工大学,2013,机械设计制造及其自动化,564,267.0,11529.0,,,
1359,天津财经大学,2013,计算机科学与技术,569,260.0,10155.0,501.0,581.0,80.0
1402,天津医科大学,2013,生物信息学,575,249.0,8631.0,501.0,577.0,76.0
1414,大连海事大学,2015,软件工程,593,295.0,11477.0,525.0,596.0,71.0
1415,大连海事大学,2015,网络工程,589,293.0,12639.0,525.0,596.0,71.0
1418,大连海事大学,2013,电气工程及其自动化,573,225.0,9082.0,,,
1424,大连海事大学,2015,机械设计制造及其自动化,593,295.0,11477.0,525.0,596.0,71.0
1477,哈尔滨工程大学,2013,电子信息工程,567,254.0,10696.0,,,
1480,哈尔滨工程大学,2013,机械设计制造及其自动化,571,268.0,9632.0,,,
1482,哈尔滨工业大学（威海）,2015,软件工程,616,197.0,5706.0,,,
1486,哈尔滨工业大学（威海）,2013,机械设计制造及其自动化,590,162.0,5480.0,,,
1487,哈尔滨工业大学（威海）,2015,光电信息科学与工程,618,211.0,5327.0,,,
1489,哈尔滨工业大学（威海）,2015,信息安全,618,211.0,5327.0,,,
1541,吉林大学,2015,软件工程,606,249.0,7958.0,,,
1544,吉林大学,2015,计算机科学与技术,609,226.0,7236.0,,,
1546,吉林大学,2015,电子科学与技术,614,213.0,6137.0,,,
1547,吉林大学,2015,电子信息工程,606,249.0,7958.0,,,
1549,吉林大学,2015,工科试验班(软件工程),615,218.0,5924.0,,,
1551,吉林大学,2013,农业机械化及其自动化,591,183.0,5318.0,,,
1552,吉林大学,2015,农业机械化及其自动化,602,265.0,8974.0,,,
